what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318089870947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089877836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089885623
error,log,,,"main.xml: Failed to find style 'mapViewStyle' in current theme",1318089898514
error,log,,,"main.xml: Failed to find style 'mapViewStyle' in current theme",1318089898515
error,log,,,"main.xml: Failed to find style 'mapViewStyle' in current theme",1318089898519
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1318089910439
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1318089910805
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1318089910857
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318089914999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089917501
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1318089919137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089919178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318089919244
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318089924724
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318089925804
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1318089927370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089927456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089929607
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318089977042
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1318089977296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318089997568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318107020434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318107022826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318107023945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318107041892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318107067674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318107083038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318107086322
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318107087202
